0.00E+00,0.00E+00,0.00E+00
-2.00E-05,2.00E-01,-1.20E-05
-4.00E-05,4.00E-01,-2.40E-05
-6.00E-05,6.00E-01,-3.60E-05
-8.00E-05,8.00E-01,-4.80E-05
-1.00E-04,1.00E+00,-6.00E-05
-1.20E-04,1.20E+00,-7.20E-05
-1.40E-04,1.40E+00,-8.40E-05
-1.60E-04,1.60E+00,-9.60E-05
-1.80E-04,1.80E+00,-1.08E-04
-2.00E-04,2.00E+00,-1.20E-04
-2.20E-04,2.20E+00,-1.32E-04
-2.40E-04,2.40E+00,-1.44E-04
-2.60E-04,2.60E+00,-1.56E-04
-2.80E-04,2.80E+00,-1.68E-04
-3.00E-04,3.00E+00,-1.80E-04
-3.20E-04,3.20E+00,-1.92E-04
-3.40E-04,3.40E+00,-2.04E-04
-3.60E-04,3.46E+00,-2.08E-04
-3.80E-04,3.46E+00,-2.08E-04
-4.00E-04,3.46E+00,-2.08E-04
-4.20E-04,3.46E+00,-2.08E-04
-4.40E-04,3.46E+00,-2.08E-04
-4.60E-04,3.46E+00,-2.08E-04
-4.80E-04,3.46E+00,-2.08E-04
-5.00E-04,3.46E+00,-2.08E-04
-5.20E-04,3.46E+00,-2.08E-04
-5.40E-04,3.46E+00,-2.08E-04
-5.60E-04,3.46E+00,-2.08E-04
-5.80E-04,3.46E+00,-2.08E-04
-6.00E-04,3.46E+00,-2.08E-04
-6.20E-04,3.46E+00,-2.08E-04
-6.40E-04,3.46E+00,-2.08E-04
-6.60E-04,3.46E+00,-2.08E-04
-6.80E-04,3.46E+00,-2.08E-04
-7.00E-04,3.46E+00,-2.08E-04
-7.20E-04,3.46E+00,-2.08E-04
-7.40E-04,3.46E+00,-2.08E-04
-7.60E-04,3.46E+00,-2.08E-04
-7.80E-04,3.46E+00,-2.08E-04
-8.00E-04,3.46E+00,-2.08E-04
-8.20E-04,3.46E+00,-2.08E-04
-8.40E-04,3.46E+00,-2.08E-04
-8.60E-04,3.46E+00,-2.08E-04
-8.80E-04,3.46E+00,-2.08E-04
-9.00E-04,3.46E+00,-2.08E-04
-9.20E-04,3.46E+00,-2.08E-04
-9.40E-04,3.46E+00,-2.08E-04
-9.60E-04,3.46E+00,-2.08E-04
-9.80E-04,3.46E+00,-2.08E-04
-1.00E-03,3.46E+00,-2.08E-04
-1.02E-03,3.46E+00,-2.08E-04
-1.04E-03,3.46E+00,-2.08E-04
-1.06E-03,3.46E+00,-2.08E-04
-1.08E-03,3.46E+00,-2.08E-04
-1.10E-03,3.46E+00,-2.08E-04
-1.12E-03,3.46E+00,-2.08E-04
-1.14E-03,3.46E+00,-2.08E-04
-1.16E-03,3.46E+00,-2.08E-04
-1.18E-03,3.46E+00,-2.08E-04
-1.20E-03,3.46E+00,-2.08E-04
-1.22E-03,3.46E+00,-2.08E-04
-1.24E-03,3.46E+00,-2.08E-04
-1.26E-03,3.46E+00,-2.08E-04
-1.28E-03,3.46E+00,-2.08E-04
-1.30E-03,3.46E+00,-2.08E-04
-1.32E-03,3.46E+00,-2.08E-04
-1.34E-03,3.46E+00,-2.08E-04
-1.36E-03,3.46E+00,-2.08E-04
-1.38E-03,3.46E+00,-2.08E-04
-1.40E-03,3.46E+00,-2.08E-04
-1.42E-03,3.46E+00,-2.08E-04
-1.44E-03,3.46E+00,-2.08E-04
-1.46E-03,3.46E+00,-2.08E-04
-1.48E-03,3.46E+00,-2.08E-04
-1.50E-03,3.46E+00,-2.08E-04
-1.52E-03,3.46E+00,-2.08E-04
-1.54E-03,3.46E+00,-2.08E-04
-1.56E-03,3.46E+00,-2.08E-04
-1.58E-03,3.46E+00,-2.08E-04
-1.60E-03,3.46E+00,-2.08E-04
-1.62E-03,3.46E+00,-2.08E-04
-1.64E-03,3.46E+00,-2.07E-04
-1.66E-03,3.46E+00,-2.07E-04
-1.68E-03,3.46E+00,-2.07E-04
-1.70E-03,3.46E+00,-2.07E-04
-1.72E-03,3.46E+00,-2.07E-04
-1.74E-03,3.46E+00,-2.07E-04
-1.76E-03,3.46E+00,-2.07E-04
-1.78E-03,3.46E+00,-2.07E-04
-1.80E-03,3.46E+00,-2.07E-04
-1.82E-03,3.46E+00,-2.07E-04
-1.84E-03,3.46E+00,-2.07E-04
-1.86E-03,3.46E+00,-2.07E-04
-1.88E-03,3.46E+00,-2.07E-04
-1.90E-03,3.46E+00,-2.07E-04
-1.92E-03,3.46E+00,-2.07E-04
-1.94E-03,3.46E+00,-2.07E-04
-1.96E-03,3.46E+00,-2.07E-04
-1.98E-03,3.46E+00,-2.07E-04
-2.00E-03,3.46E+00,-2.07E-04
